Question,Topic,Score
Can you help me plan my course schedule for next semester?,Conflict Resolution and Schedule Management,0.9213699102401733
Can you help me plan my course schedule for next semester?,Course Selection,0.9196484088897705
What are the consequences of failing a class?,Resolving Graduation Audit Discrepancies,0.8939371705055237
What are the consequences of failing a class?,Understanding Graduation Requirements,0.8933871984481812
What are the consequences of failing a class?,Balancing Course Load,0.8928521871566772
How do I petition for an academic exception?,Resolving Graduation Audit Discrepancies,0.9045734405517578
How do I petition for an academic exception?,Appealing Financial Aid Decisions,0.9020369052886963
How do I petition for an academic exception?,Advising and Support,0.9004824161529541
What extracurricular activities would complement my academic goals?,Personal Interest Courses,0.9207854270935059
What extracurricular activities would complement my academic goals?,Aligning Courses With Career Goals,0.9139193296432495
What extracurricular activities would complement my academic goals?,Finding Scholarships,0.9137011766433716
How often should I meet with my academic advisor?,Contacting Academic Advisors,0.9299451112747192
How often should I meet with my academic advisor?,Academic Advisor Availability,0.9296061992645264
How often should I meet with my academic advisor?,Issues with Academic Advisors,0.9167760610580444
What are the requirements for graduating with honors?,Understanding Graduation Requirements,0.9250743389129639
What are the requirements for graduating with honors?,Preparing for a Graduation Audit,0.9055233001708984
What are the requirements for graduating with honors?,Understanding Degree Requirements,0.9039984941482544
Can I retake a course to improve my GPA?,Resolving Graduation Audit Discrepancies,0.8985205292701721
Can I retake a course to improve my GPA?,Balancing Course Load,0.898101270198822
Can I retake a course to improve my GPA?,Academic Resources and Support,0.8956018686294556
What are the prerequisites for my upper-level courses?,Course Selection,0.9164333343505859
What are the prerequisites for my upper-level courses?,Understanding Graduation Requirements,0.9125856757164001
What are the prerequisites for my upper-level courses?,Understanding Degree Requirements,0.909564733505249
Who can I talk to for career advice in my field?,Resources for Degree Selection,0.9191737174987793
Who can I talk to for career advice in my field?,Aligning Courses With Career Goals,0.9048082828521729
Who can I talk to for career advice in my field?,Networking for Job Search,0.9046915769577026
How do I balance my coursework with part-time work?,Balancing Course Load,0.9335367679595947
How do I balance my coursework with part-time work?,Time Management for Students,0.909934401512146
How do I balance my coursework with part-time work?,Conflict Resolution and Schedule Management,0.906156599521637
What are the general education requirements I still need to fulfill?,Understanding Graduation Requirements,0.9247363805770874
What are the general education requirements I still need to fulfill?,Understanding Degree Requirements,0.914272129535675
What are the general education requirements I still need to fulfill?,Course Selection,0.9096565246582031
Where can I find information about professional licensing in my field?,Resources for Degree Selection,0.9004526734352112
Where can I find information about professional licensing in my field?,Leveraging Social Media in Job Search,0.8928490877151489
Where can I find information about professional licensing in my field?,Community Mental Health Resources,0.8921474814414978
How do I change my advisor?,Issues with Academic Advisors,0.9293123483657837
How do I change my advisor?,Finding Academic Advisors,0.9136658906936646
How do I change my advisor?,Academic Advisor Availability,0.9116570949554443
What steps should I take if I'm considering transferring to another university?,International Transfer Credits,0.9198288917541504
What steps should I take if I'm considering transferring to another university?,Transfer Credit Policies,0.9183633327484131
What steps should I take if I'm considering transferring to another university?,Credit Evaluation Process,0.917806088924408
"How do I access academic support services, like tutoring or writing help?",Academic Resources and Support,0.9344995617866516
"How do I access academic support services, like tutoring or writing help?",Disability Support Services,0.927253007888794
"How do I access academic support services, like tutoring or writing help?",Advising and Support,0.9266061782836914
What are the deadlines for adding or dropping classes this semester?,Course Registration System Navigation,0.9316951036453247
What are the deadlines for adding or dropping classes this semester?,Timeline and Deadlines for Graduation Audit,0.9092646837234497
What are the deadlines for adding or dropping classes this semester?,Balancing Course Load,0.90339195728302
How can I check my academic standing?,Preparing for a Graduation Audit,0.911850094795227
How can I check my academic standing?,Resolving Graduation Audit Discrepancies,0.9111955165863037
How can I check my academic standing?,Understanding Graduation Requirements,0.9109354019165039
What do I need to know about the privacy of my academic records?,Preparing for a Graduation Audit,0.9118648767471313
What do I need to know about the privacy of my academic records?,Resolving Graduation Audit Discrepancies,0.9110099077224731
What do I need to know about the privacy of my academic records?,Understanding Graduation Requirements,0.9054751396179199
